Questionário N688-Ambiente de dados,,,,,,,,,,
Abrir o questionário,Encerrar o questionário,Abrir para,Quantidade de primeiras tentativas avaliadas,Número total de tentativas avaliadas,Nota média das primeiras tentativas,Nota média de todas as tentativas,Média das notas das últimas tentativas,Média das notas das tentativas como maior nota,Nota mediana (para primeira tentativa),Desvio padrão (para primeira tentativa)
"sábado, 8 jun. 2024, 08:00","sábado, 15 jun. 2024, 17:30",7 dias 9 horas,292,292,"65,43%","65,43%","65,43%","65,43%","70,00%","21,02%"
